Title,Artist,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Tempo,Country
No love,"Ninho, Ayra Starr",NI,2023-06-30,76,202.186,True,66.8,43.6,80.431,FR
Water,Tyla,Water,2023-07-28,94,200.255,False,67.30000000000001,72.2,117.187,FR
Ailleurs,Josman,J.000.$,2023-10-28,55,165.506,True,73.8,59.3,72.494,FR
Yacht & Champagne - Skit,Josman,J.000.$,2023-10-28,56,90.0,True,79.9,53.0,128.064,FR
Arranca (feat. Omega),"Becky G, Omega",Arranca (feat. Omega),2023-03-10,82,166.529,False,93.10000000000001,79.3,117.999,FR
Chemin d'or,Werenoi,Carré,2023-03-10,75,212.093,True,69.6,60.699999999999996,91.452,FR
LA RUE,"No Limit, Gazo, Damso",LA RUE,2023-06-05,76,225.137,True,71.3,59.0,138.065,FR
À feu doux...,Josman,J.000.$,2023-10-28,55,187.013,True,70.6,51.4,154.003,FR
Prada,"cassö, RAYE, D-Block Europe",Prada,2023-08-11,94,132.359,True,63.800000000000004,71.7,141.904,FR
Cotton Club Freestyle - Remix,Josman,J.000.$,2023-10-28,55,70.813,True,87.2,49.6,122.029,FR
Demain,PLK,2069',2023-04-13,74,183.013,True,72.6,67.5,137.954,FR
Solitaire,Werenoi,Telegram,2022-10-28,73,146.44,True,75.3,71.7,117.952,FR
BALLE DANS LE COEUR,"Ikaz Boi, Tiakola",BRUT4L,2023-09-29,70,160.306,True,71.0,59.099999999999994,120.004,FR
"1,2,3 Soleil","NAZAKEBLACK, Naza, KeBlack","1,2,3 Soleil",2023-06-08,74,173.419,False,72.8,74.7,154.928,FR
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,92,244.36,True,44.5,53.7,122.769,FR
Shavkat,Freeze corleone,ADC,2023-09-11,71,219.865,True,62.6,73.0,111.261,FR
Rich Music,Josman,J.000.$,2023-10-28,54,229.0,True,55.300000000000004,62.7,174.019,FR
Eurostar (feat. Central Cee),"Ninho, Central Cee",NI,2023-06-30,77,187.057,True,77.7,70.1,137.054,FR
Popcorn Salé,SANTA,Popcorn Salé,2022-03-25,71,238.653,False,35.5,28.999999999999996,168.345,FR
Emorio,"Trinix, Fafá de Belém",Emorio,2023-04-28,76,163.84,False,66.9,71.8,120.955,FR
Urus,Favé,Urus,2022-10-12,72,147.788,True,71.0,71.2,162.106,FR
"EVERYDAY (feat. Shiva, ANNA, Geolier)","Takagi & Ketra, Shiva, ANNA, Geolier","EVERYDAY (feat. Shiva, ANNA, Geolier)",2023-10-13,83,190.188,False,74.8,51.6,78.038,IT
Cadillac (feat. Artie 5ive),"Boro, Artie 5ive, Andry The Hitmaker",Cadillac (feat. Artie 5ive),2023-09-21,81,155.526,True,80.5,87.3,94.976,IT
Si No Estás,iñigo quintero,Si No Estás,2022-09-23,98,184.061,False,53.7,42.1,98.224,IT
Insta Lova,"Marracash, Guè",Santeria,2016-06-24,80,206.805,False,69.0,79.5,101.071,IT
Che t'o dico a fa',Angelina Mango,Che t'o dico a fa',2023-10-06,77,187.742,False,64.7,68.4,165.028,IT
MILANO,"BIA, Sfera Ebbasta, Fivio Foreign",REALLY HER (INTL DELUXE),2023-09-29,79,194.675,True,80.0,42.9,143.918,IT
Papaya,VillaBanks,VILLABANKS,2023-10-26,50,139.714,True,67.4,82.69999999999999,140.044,IT
VETRI NERI,"AVA, ANNA, Capo Plaza",VETRI NERI,2023-05-19,81,164.776,True,75.4,76.7,134.084,IT
"BON TON (feat. Lazza, Blanco, Sfera Ebbasta & Michelangelo)","Drillionaire, Lazza, BLANCO, Sfera Ebbasta, Michelangelo",10,2023-06-29,80,238.533,False,67.80000000000001,81.39999999999999,129.988,IT
COME VUOI,Geolier,IL CORAGGIO DEI BAMBINI,2023-01-06,78,172.615,True,75.6,63.1,130.052,IT
2minuti,Calcutta ,RELAX,2023-10-20,73,214.291,False,76.4,59.3,122.959,IT
Nightmares,"Bresh, Pinguini Tattici Nucleari",Nightmares,2023-09-29,77,201.782,False,71.39999999999999,83.3,116.994,IT
ABC (feat. Bello Figo),"Slings, Bello Figo",TRAPHOUSE,2023-10-20,59,143.424,True,88.8,47.0,145.953,IT
Hoe (feat. Sfera Ebbasta),"Tedua, Sfera Ebbasta",La Divina Commedia,2023-06-02,79,137.098,False,93.60000000000001,75.7,114.044,IT
Freaky (feat. Shiva & Niky Savage),"Slings, Shiva, Niky Savage, Finesse",TRAPHOUSE,2023-10-20,69,177.576,True,87.3,57.8,98.996,IT
IL MALE CHE MI FAI (feat. Marracash),"Geolier, Marracash",IL CORAGGIO DEI BAMBINI - ATTO II,2023-04-07,77,167.339,False,73.5,79.80000000000001,109.044,IT
"Gelosa (feat. Shiva, Sfera Ebbasta, Guè)","Finesse, Shiva, Sfera Ebbasta, Guè","Gelosa (feat. Shiva, Sfera Ebbasta, Guè)",2023-02-24,78,181.611,False,72.6,67.2,150.068,IT
Syrup,Shiva,Syrup,2023-09-14,79,188.654,True,89.5,46.0,139.893,IT
ANELLI E COLLANE (feat. ANNA),"Artie 5ive, ANNA",ASPETTANDO LA BELLA VITA,2023-07-20,77,189.015,True,52.400000000000006,81.6,96.503,IT
Tutti,Calcutta ,RELAX,2023-10-20,71,250.894,False,54.400000000000006,48.199999999999996,134.98,IT
Kiss You (F**k You) [feat. Geolier],"Yung Snapp, Geolier",HOTEL MONTANA,2023-09-01,74,207.4,True,77.4,57.199999999999996,104.021,IT
TAXI SULLA LUNA,"Tony Effe, Emma, Takagi & Ketra",TAXI SULLA LUNA,2023-06-08,78,143.5,False,86.1,73.5,120.015,IT
bellissimissima <3,Alfa,bellissimissima <3,2023-05-12,78,157.031,False,73.4,84.1,101.853,IT
LALA,Myke Towers,LA VIDA ES UNA,2023-03-23,97,197.92,True,70.8,73.7,91.986,IT
Alta marea,"Coez, Frah Quintale",Lovebars,2023-09-08,68,171.903,False,73.7,75.0,109.988,IT
Rubami la Notte,Pinguini Tattici Nucleari,Fake News,2022-12-02,70,189.583,False,54.7,88.2,77.011,IT
ITALODISCO,The Kolors,ITALODISCO,2023-05-05,84,199.512,False,88.5,57.9,123.038,IT
Baby Mama,Don Pero,Baby Mama,2022-10-27,75,151.16,True,59.5,83.2,90.475,IT
Ci pensiamo domani,Angelina Mango,Ci pensiamo domani,2023-05-12,77,180.184,False,85.7,66.60000000000001,122.045,IT
Fantasmi (feat. Geolier),"Rose Villain, Geolier",Radio Gotham,2023-01-20,75,133.266,False,75.7,76.6,97.971,IT
PARAFULMINI (con Bresh & Fabri Fibra),"Ernia, Bresh, Fabri Fibra",IO NON HO PAURA,2023-05-04,72,208.909,False,78.5,77.4,110.027,IT
Ancora,Rhove,Ancora,2023-06-21,75,171.775,True,73.9,70.0,138.018,IT
Un Altro Mondo (con Tananai & Marracash),"Merk & Kremont, Tananai, Marracash",Un Altro Mondo (con Tananai & Marracash),2023-06-21,76,167.647,False,58.4,91.3,135.987,IT
"LE BAMBINE FANNO OH (feat. Nerissima Serpe, ANNA, Papa V, Artie 5ive)","Sadturs, KIID, Nerissima Serpe, ANNA, Papa V, Artie 5ive",NO REGULAR MUSIC,2023-10-27,63,196.799,True,66.0,86.3,99.888,IT
X CASO (feat. Sfera Ebbasta),"Geolier, Sfera Ebbasta",IL CORAGGIO DEI BAMBINI,2023-01-06,75,215.421,True,78.10000000000001,46.400000000000006,100.021,IT
Un Briciolo Di Allegria (con MINA),"BLANCO, Mina",Innamorato,2023-04-13,75,207.615,False,61.7,70.7,91.925,IT
Rocket (feat. Artie 5ive),"Vale Pain, Bobo, Artie 5ive",Rocket (feat. Artie 5ive),2023-09-07,72,175.133,True,77.8,50.4,147.978,IT
TOP G (feat. Sacky),"Artie 5ive, Sacky",ASPETTANDO LA BELLA VITA,2023-07-20,72,220.255,True,73.4,70.3,89.998,IT
Un milione di volte (feat. Sfera Ebbasta),"Shiva, Sfera Ebbasta",Santana Season,2023-06-09,76,181.714,True,73.3,65.0,140.171,IT
Giro con te,Calcutta ,RELAX,2023-10-20,70,204.106,False,52.7,63.6,79.876,IT
Red Light,Tedua,La Divina Commedia,2023-06-02,74,167.88,False,55.800000000000004,62.4,66.512,IT
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,90,198.937,False,62.1,78.2,128.033,IT
Nato Per Questo,Capo Plaza,Nato Per Questo,2023-10-13,72,167.076,True,58.8,73.9,129.957,IT
CENERE,Lazza,SIRIO,2022-04-07,71,208.323,False,65.2,62.8,119.856,IT
Controtempo,Calcutta ,RELAX,2023-10-20,69,224.562,False,74.8,49.5,94.008,IT
Non lo Sai,Shiva,Milano Demons,2022-11-25,73,228.454,False,58.5,67.80000000000001,127.959,IT
Paradiso Artificiale (feat. Baby Gang & Kid Yugi),"Tedua, Baby Gang, Kid Yugi",La Divina Commedia,2023-06-02,75,162.411,False,74.3,69.3,104.522,IT
In Mezzo ai Guai (feat. Neima Ezza),"Vale Pain, Neima Ezza",In Mezzo ai Guai (feat. Neima Ezza),2023-05-25,71,139.098,True,74.0,85.6,134.957,IT
"Bentley (feat. Simba La Rue, J Lord)","Baby Gang, Simba La Rue, J Lord",INNOCENTE (Deluxe Edition),2023-10-13,71,119.329,True,51.6,74.3,86.578,IT
CHIAGNE (feat. Lazza & Takagi & Ketra),"Geolier, Lazza, Takagi & Ketra",IL CORAGGIO DEI BAMBINI,2023-01-06,71,179.863,False,71.6,73.7,131.947,IT
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,86,229.477,False,59.599999999999994,65.8,100.012,GB
Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,146.436,False,79.3,51.2,109.994,GB
Strangers,Kenya Grace,Strangers,2023-09-01,98,172.964,False,62.8,52.300000000000004,169.982,GB
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),2023-10-26,86,180.381,False,62.9,41.3,77.983,GB
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,86,279.833,False,62.6,54.7,109.946,GB
greedy,Tate McRae,greedy,2023-09-15,99,131.872,True,75.0,73.3,111.018,GB
Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,86,231.0,False,57.49999999999999,82.39999999999999,94.971,GB
Prada,"cassö, RAYE, D-Block Europe",Prada,2023-08-11,94,132.359,True,63.800000000000004,71.7,141.904,GB
Water,Tyla,Water,2023-07-28,94,200.255,False,67.30000000000001,72.2,117.187,GB
Paint The Town Red,Doja Cat,Scarlet,2023-09-20,89,230.48,True,86.4,55.60000000000001,99.974,GB
Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,84,171.818,False,69.89999999999999,62.1,118.048,GB
Cruel Summer,Taylor Swift,Lover,2019-08-23,100,178.426,False,55.2,70.19999999999999,169.994,GB
Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,231.833,False,73.7,72.5,96.012,GB
Out Of The Woods (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,235.8,False,54.7,88.5,91.992,GB
Welcome To New York (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,85,212.6,False,76.1,60.699999999999996,116.98,GB
Sprinter,"Dave, Central Cee",Sprinter,2023-06-01,93,229.133,True,91.60000000000001,58.3,141.095,GB
vampire,Olivia Rodrigo,GUTS,2023-09-08,96,219.724,True,51.1,53.2,138.005,GB
Wildest Dreams (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,82,220.433,False,58.099999999999994,67.2,140.061,GB
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,96,137.773,False,50.4,30.8,113.95,GB
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,83,193.289,False,58.599999999999994,72.0,97.057,GB
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Chase & Status, Bou, Flowdan, IRAH, Trigga, Takura","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",2023-07-27,82,177.291,False,62.0,93.5,87.532,GB
Shake It Off (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,83,219.209,False,63.2,80.7,160.055,GB
New Romantics (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,83,230.177,False,65.10000000000001,85.5,121.98,GB
Stick Season,Noah Kahan,Stick Season,2022-10-14,88,182.346,False,66.2,48.8,117.913,GB
I Wish You Would (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,82,207.65,False,66.9,85.1,118.026,GB
Clean (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,82,271.0,False,77.10000000000001,38.6,103.96,GB
How You Get The Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,82,247.533,False,75.4,68.2,120.027,GB
Bad Blood (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,83,211.103,False,61.9,68.60000000000001,169.943,GB
Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),2023-05-25,94,176.579,False,67.10000000000001,84.5,110.056,GB
I Know Places (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,81,195.7,False,57.49999999999999,80.30000000000001,160.039,GB
Wonderland (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,81,245.566,False,46.2,70.8,183.811,GB
This Love (Taylor’s Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,81,250.1,False,47.4,51.1,144.022,GB
You Are In Love (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,81,267.389,False,53.7,49.5,84.948,GB
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,96,222.369,False,44.4,9.11,78.403,GB
Disconnect,"Becky Hill, Chase & Status",Disconnect,2023-07-14,81,164.914,True,50.4,97.6,175.048,GB
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04,89,257.8,False,82.8,49.2,120.151,GB
adore u,"Fred again.., Obongjayar",adore u,2023-08-11,84,220.653,False,74.7,86.7,124.015,GB
fukumean,Gunna,a Gift & a Curse,2023-06-16,95,125.04,True,84.7,62.2,130.001,GB
Asking,"Sonny Fodera, MK, Clementine Douglas",Asking,2023-07-07,79,191.59,False,47.699999999999996,85.39999999999999,126.965,GB
Mr. Brightside,The Killers,Hot Fuss,2004,88,222.973,False,35.199999999999996,91.10000000000001,148.033,GB
Anti-Hero,Taylor Swift,Midnights,2022-10-21,93,200.69,False,63.7,64.3,97.008,GB
bad idea right?,Olivia Rodrigo,GUTS,2023-09-08,93,184.783,True,62.7,87.9,129.979,GB
IDGAF (feat. Yeat),"Drake, Yeat",For All The Dogs,2023-10-06,94,260.111,True,66.3,67.0,136.952,GB
One Of Your Girls,Troye Sivan,Something To Give Each Other,2023-10-13,87,181.481,False,62.9,65.4,93.034,GB
Daylight,David Kushner,Daylight,2023-04-14,95,212.953,False,50.8,43.0,130.09,GB
Kill Bill,SZA,SOS,2022-12-08,92,153.946,False,64.4,73.5,88.98,GB
get him back!,Olivia Rodrigo,GUTS,2023-09-08,91,211.141,True,54.6,84.6,162.043,GB
(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana [Edit],2023-06-15,92,231.545,False,67.10000000000001,87.6,129.998,GB
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,92,244.36,True,44.5,53.7,122.769,GB
Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",For All The Dogs,2023-10-06,88,319.191,True,64.5,72.89999999999999,146.01,GB
